subject_id,trial_id,condition,correct,rt_ms,ern_uv
sub-001,1,correct,1,436.862990027445,-1.7118660760243074
sub-001,2,correct,1,521.3339743504278,-0.3924832099792952
sub-001,3,correct,1,314.8921068400139,0.031007828170335622
sub-001,4,correct,1,463.0659589935644,-1.5198879604723283
sub-001,5,correct,1,501.38024858766096,4.275714820293303
sub-001,6,correct,1,491.3311490621151,-4.626904256475349
sub-001,7,error,0,437.0097449027979,-2.8429618804071586
sub-001,8,correct,1,467.56233323922777,0.89892930897379
sub-001,9,correct,1,459.17202429449895,-0.39155938444031524
sub-001,10,correct,1,510.27276310611546,0.3144380993525111
sub-001,11,correct,1,621.4814826831239,-1.593263794775154
sub-001,12,correct,1,726.7599783462706,-3.9831011260160034
sub-001,13,correct,1,532.9898540108608,2.2722875037722545
sub-001,14,correct,1,451.51614820504034,0.12258145180838242
sub-001,15,correct,1,599.0303468469526,-0.37362631551602976
sub-001,16,correct,1,481.8794365580786,-1.3450815888039935
sub-001,17,correct,1,523.0327589032088,-2.0103214949109534
sub-001,18,error,0,465.6019453345745,2.6564998443251815
sub-001,19,error,0,498.41002834474165,-4.0457223551317085
sub-001,20,correct,1,367.82689321386334,-3.1179535616929144
sub-001,21,correct,1,463.52130752380657,-0.5210989917721919
sub-001,22,correct,1,433.9974073988097,-2.8684672784693674
sub-001,23,correct,1,469.8709448372143,-1.1821437641445587
sub-001,24,correct,1,421.34193447938173,1.8500114131900587
sub-001,25,correct,1,559.0876068172281,-0.9861474380592697
sub-001,26,correct,1,397.19937643033893,-3.3015801147850334
sub-001,27,correct,1,443.8699496267151,-0.057109925237813
sub-001,28,correct,1,306.1403689833376,1.3797146590078702
sub-001,29,correct,1,442.56216416945057,-1.9934991566541937
sub-001,30,correct,1,583.4780068701367,1.0678256047382917
sub-001,31,correct,1,480.8559665962553,-1.562030809153337
sub-001,32,error,0,548.7253083880352,-2.168122104742895
sub-001,33,correct,1,486.34998310735074,2.1409828123078842
sub-001,34,correct,1,386.4842316214582,0.1899933931120414
sub-001,35,correct,1,627.243950690367,-0.44032684455015214
sub-001,36,correct,1,493.83779395066796,-4.917208005787545
sub-001,37,correct,1,425.3203268092939,-0.2679143609924822
sub-001,38,error,0,533.2578015029092,-4.555314751800836
sub-001,39,correct,1,411.14890873269803,-1.8471292779549373
sub-001,40,correct,1,487.7686149283013,-3.6235350695693054
sub-001,41,correct,1,577.2599662717423,-0.9248970159272213
sub-001,42,correct,1,480.8478383754304,-1.4555936864564283
sub-001,43,correct,1,463.3313339598772,1.0936450915312392
sub-001,44,error,0,251.16881085395408,-5.090592446102324
sub-001,45,correct,1,391.1040237535426,4.385971304624941
sub-001,46,correct,1,451.9473406459636,1.5129171958410057
sub-001,47,correct,1,519.2404279561015,-0.38524558848662627
sub-001,48,error,0,541.180292043375,-2.8112972791616437
sub-001,49,correct,1,560.6308403680557,0.394473832001038
sub-001,50,error,0,440.86207030041135,-1.1459655081315376
sub-001,51,correct,1,478.9207775338698,3.94713561328144
sub-001,52,correct,1,446.2828168414823,-1.745986414170846
sub-001,53,error,0,516.8273514967574,-4.586888163372045
sub-001,54,correct,1,362.26964110125675,-1.3721752896355868
sub-001,55,correct,1,401.82583410383484,2.3402400332350624
sub-001,56,correct,1,395.6471719689904,-2.1410727534241247
sub-001,57,correct,1,476.8434850835457,0.9153307894320422
sub-001,58,correct,1,480.14179960708236,0.8550155659207785
sub-001,59,correct,1,493.6784850527891,-2.261306709217627
sub-001,60,error,0,427.5026868658185,-4.078339094531381
sub-001,61,error,0,371.65196169768603,-3.0320053082555054
sub-001,62,correct,1,432.92347237192865,-0.17773672014621136
sub-001,63,correct,1,612.0601519152356,-1.8463734904372102
sub-001,64,correct,1,445.5050958640194,-0.7885321477710959
sub-001,65,correct,1,545.4203456327323,-0.9104148965635824
sub-001,66,correct,1,531.7259791793729,4.5462093785923345
sub-001,67,correct,1,331.70325972791545,-1.5752690284733846
sub-001,68,correct,1,532.5322134002172,-0.3970382554089331
sub-001,69,correct,1,571.373360475436,-2.0700439615378086
sub-001,70,correct,1,489.6403276706773,-0.48288595624462943
sub-001,71,correct,1,513.6828038986463,-3.429973428194729
sub-001,72,correct,1,565.7326483921904,3.9492535738726344
sub-001,73,correct,1,422.539549582329,-1.301820268063097
sub-001,74,correct,1,333.0363916051431,-2.753838339998347
sub-001,75,correct,1,546.1523912514638,-1.5569492307254262
sub-001,76,error,0,594.0310957544444,-4.314258232318036
sub-001,77,error,0,484.8094067954094,-5.875519107924912
sub-001,78,correct,1,351.3368516513042,2.4765779471324993
sub-001,79,error,0,320.706766386577,-4.276188539903487
sub-001,80,correct,1,607.6782657156014,0.020219560202496767
sub-001,81,correct,1,566.3429434532452,-0.49416402637534906
sub-001,82,correct,1,402.65456213757795,-4.283811668866139
sub-001,83,correct,1,514.968728302332,0.4119599688236444
sub-001,84,correct,1,624.1778555075427,0.00138470116152134
sub-001,85,correct,1,506.6218436780663,-1.7513047227151934
sub-001,86,correct,1,400.9319199528235,-0.2300216856133383
sub-001,87,correct,1,481.22751497615036,2.906134004455688
sub-001,88,correct,1,290.85431880999386,1.9139407815475271
sub-001,89,correct,1,620.1323186136337,-0.8754434320899324
sub-001,90,correct,1,428.4407206279635,-0.10032992128509122
sub-001,91,correct,1,461.07306010788017,0.7232871698616342
sub-001,92,correct,1,469.55841850653724,-1.7905891246993473
sub-001,93,error,0,612.9238989023258,-9.010454440042999
sub-001,94,correct,1,514.851142042387,-3.058036119445129
sub-001,95,correct,1,440.8738521299489,-1.449287367587761
sub-001,96,correct,1,496.54172557586094,-3.300834460085315
sub-001,97,correct,1,387.36275402462593,3.0135267288055614
sub-001,98,correct,1,559.0256337659962,0.49490325171292937
sub-001,99,correct,1,468.07637225533864,0.6863428447375435
sub-001,100,correct,1,423.2080372441211,-2.1685478070633453
sub-001,101,correct,1,537.466175229232,1.6876313622122163
sub-001,102,correct,1,468.0136660733931,1.5916436447502706
sub-001,103,correct,1,385.9355786256608,-2.465605280505925
sub-001,104,error,0,458.0439237389145,-1.6556197696601744
sub-001,105,correct,1,468.7781522433526,1.4632386793174517
sub-001,106,error,0,419.14481995608594,-0.9742532186056412
sub-001,107,correct,1,489.85003645081633,-1.0762663449890724
sub-001,108,correct,1,442.84929462766246,-0.7488005423246479
sub-001,109,correct,1,487.7164243650361,-2.6079975484618867
sub-001,110,correct,1,540.5866643816296,5.763071043702284
sub-001,111,correct,1,361.2328031944625,-3.525348280625879
sub-001,112,correct,1,501.1235019055949,1.5150863073681269
sub-001,113,correct,1,524.7133441437221,-3.8492401269661256
sub-001,114,correct,1,584.750010089531,-1.9867814351917084
sub-001,115,correct,1,396.72146528632265,-0.5392757191490836
sub-001,116,correct,1,467.93677781445285,-3.718697620490574
sub-001,117,correct,1,533.8592761251517,-3.193315010580985
sub-001,118,correct,1,410.2529648088764,-1.7410807707314973
sub-001,119,correct,1,425.8919496293724,-0.2177269795926378
sub-001,120,correct,1,478.21626650927124,1.6713885612987804
sub-001,121,correct,1,468.52124822636785,-2.711722378829996
sub-001,122,correct,1,599.8381010035971,-3.127994207808883
sub-001,123,error,0,423.177175025966,-1.4575714462251315
sub-001,124,error,0,460.09229627201483,-0.0798283989676647
sub-001,125,correct,1,351.9715461276325,-3.179539643157951
sub-001,126,correct,1,546.1127902160225,-2.453199323890556
sub-001,127,correct,1,469.7546183663941,-0.8085764792047755
sub-001,128,correct,1,429.41887470770905,-1.180045329064065
sub-001,129,correct,1,483.3990053013903,0.8973286223312922
sub-001,130,correct,1,510.7474096428156,-1.4162916153592457
sub-001,131,correct,1,589.007486036128,-0.7341366973725232
sub-001,132,correct,1,587.3124350631616,2.0342962081923126
sub-001,133,correct,1,506.9596900700271,-0.22320934038493548
sub-001,134,correct,1,374.62117234412773,0.4405237043679756
sub-001,135,error,0,330.6846274717415,-2.3691716628673847
sub-001,136,error,0,448.6023524380799,-4.734017310476966
sub-001,137,correct,1,408.5721877491392,3.8395901690531806
sub-001,138,correct,1,413.9619142496661,-2.1916847705362943
sub-001,139,error,0,411.94676335060416,-1.4135104144561348
sub-001,140,correct,1,388.57692070823765,0.32230471112187487
sub-001,141,correct,1,471.337101569341,0.9734760949230343
sub-001,142,error,0,512.5458852644657,-3.930727685245471
sub-001,143,correct,1,387.0003342224516,-2.2250615615790457
sub-001,144,correct,1,403.60830002864986,2.4489583072166416
sub-001,145,error,0,408.9816000000972,-1.0802155905494564
sub-001,146,correct,1,530.3531704204394,-2.820388515429645
sub-001,147,correct,1,389.490648600717,-4.3527779637521755
sub-001,148,correct,1,400.41597902458716,0.7516905076328396
sub-001,149,error,0,555.1903447634709,-5.5543181455363735
sub-001,150,correct,1,513.6480688056187,0.3642243967949288
sub-001,151,correct,1,538.1915218739699,-3.276334467173152
sub-001,152,correct,1,423.6283794902604,0.772653037785466
sub-001,153,correct,1,464.16301407686274,-0.19647282203375938
sub-001,154,correct,1,403.79663770198755,-1.293648605330361
sub-001,155,error,0,461.2328573198313,-2.4918482134868993
sub-001,156,correct,1,484.9036150080344,-0.42816239740957485
sub-001,157,correct,1,514.6381929516018,3.3832101234534964
sub-001,158,correct,1,541.4134715854588,1.09259724646958
sub-001,159,correct,1,556.0459920439108,1.169978413953638
sub-001,160,correct,1,374.71491740367935,-1.567616149369256
sub-002,1,correct,1,574.0115340850898,-1.8405001250017035
sub-002,2,correct,1,513.7649557324844,-3.637890083368686
sub-002,3,correct,1,535.6218708696476,-4.47980103777989
sub-002,4,correct,1,568.2440609997358,-2.345445389106775
sub-002,5,correct,1,419.5660755662263,-3.6897284080791826
sub-002,6,correct,1,424.73583290299166,0.5552627763390956
sub-002,7,error,0,464.61844190229016,-1.1903772475486454
sub-002,8,correct,1,407.6539591170609,0.6067036684529978
sub-002,9,error,0,367.80317110421163,-3.9631719392392313
sub-002,10,correct,1,435.00210161989185,0.9630285600170845
sub-002,11,correct,1,662.8095052406646,-1.6020318728653233
sub-002,12,correct,1,424.9972409030827,-1.8126431076495118
sub-002,13,correct,1,458.8696105470427,-4.511899606632404
sub-002,14,error,0,367.0078586295603,-4.369954691259874
sub-002,15,correct,1,542.8244326837731,-0.5113304472331539
sub-002,16,correct,1,461.3510870159649,-3.132088965983318
sub-002,17,correct,1,450.23650179588003,-1.3433430564726132
