subject_id,trial_id,condition,correct,rt_ms,ern_uv,is_correct,rt_valid,trial_valid,trial_type
sub-001,1,correct,1,436.862990027445,-1.7118660760243074,True,True,True,correct
sub-001,2,correct,1,521.3339743504278,-0.3924832099792952,True,True,True,correct
sub-001,3,correct,1,314.8921068400139,0.0310078281703356,True,True,True,correct
sub-001,4,correct,1,463.0659589935644,-1.5198879604723283,True,True,True,correct
sub-001,5,correct,1,501.38024858766096,4.275714820293303,True,True,True,correct
sub-001,6,correct,1,491.3311490621151,-4.626904256475349,True,True,True,correct
sub-001,7,error,0,437.0097449027979,-2.8429618804071586,False,True,True,error
sub-001,8,correct,1,467.56233323922777,0.89892930897379,True,True,True,correct
sub-001,9,correct,1,459.17202429449895,-0.3915593844403152,True,True,True,correct
sub-001,10,correct,1,510.27276310611546,0.3144380993525111,True,True,True,correct
sub-001,11,correct,1,621.4814826831239,-1.593263794775154,True,True,True,correct
sub-001,12,correct,1,726.7599783462706,-3.9831011260160034,True,True,True,correct
sub-001,13,correct,1,532.9898540108608,2.2722875037722545,True,True,True,correct
sub-001,14,correct,1,451.51614820504034,0.1225814518083824,True,True,True,correct
sub-001,15,correct,1,599.0303468469526,-0.3736263155160297,True,True,True,correct
sub-001,16,correct,1,481.8794365580786,-1.3450815888039935,True,True,True,correct
sub-001,17,correct,1,523.0327589032088,-2.0103214949109534,True,True,True,correct
sub-001,18,error,0,465.6019453345745,2.656499844325181,False,True,True,error
sub-001,19,error,0,498.4100283447417,-4.0457223551317085,False,True,True,error
sub-001,20,correct,1,367.82689321386334,-3.1179535616929144,True,True,True,correct
sub-001,21,correct,1,463.52130752380657,-0.5210989917721919,True,True,True,correct
sub-001,22,correct,1,433.9974073988097,-2.8684672784693674,True,True,True,correct
sub-001,23,correct,1,469.8709448372143,-1.182143764144559,True,True,True,correct
sub-001,24,correct,1,421.3419344793817,1.850011413190059,True,True,True,correct
sub-001,25,correct,1,559.0876068172281,-0.9861474380592696,True,True,True,correct
sub-001,26,correct,1,397.1993764303389,-3.301580114785033,True,True,True,correct
sub-001,27,correct,1,443.8699496267151,-0.057109925237813,True,True,True,correct
sub-001,28,correct,1,306.1403689833376,1.3797146590078702,True,True,True,correct
sub-001,29,correct,1,442.56216416945057,-1.9934991566541935,True,True,True,correct
sub-001,30,correct,1,583.4780068701367,1.0678256047382917,True,True,True,correct
sub-001,31,correct,1,480.8559665962553,-1.562030809153337,True,True,True,correct
sub-001,32,error,0,548.7253083880352,-2.168122104742895,False,True,True,error
sub-001,33,correct,1,486.34998310735074,2.140982812307884,True,True,True,correct
sub-001,34,correct,1,386.4842316214582,0.1899933931120414,True,True,True,correct
sub-001,35,correct,1,627.243950690367,-0.4403268445501521,True,True,True,correct
sub-001,36,correct,1,493.837793950668,-4.917208005787545,True,True,True,correct
sub-001,37,correct,1,425.3203268092939,-0.2679143609924822,True,True,True,correct
sub-001,38,error,0,533.2578015029092,-4.555314751800836,False,True,True,error
sub-001,39,correct,1,411.148908732698,-1.8471292779549373,True,True,True,correct
sub-001,40,correct,1,487.7686149283013,-3.6235350695693054,True,True,True,correct
sub-001,41,correct,1,577.2599662717423,-0.9248970159272212,True,True,True,correct
